TELETIME,SEX,SCHOOL,STANDARD
1482,1,1,4
2018,1,1,4
1849,1,1,4
857,1,1,4
2027,2,1,4
2368,2,1,4
1783,2,1,4
1769,2,1,4
2534,1,1,3
2366,1,1,3
1518,1,1,3
2696,1,1,3
2270,1,1,3
1752,2,1,3
2028,2,1,3
490,1,1,2
1114,1,1,2
2773,2,1,2
1561,2,1,2
2032,2,1,2
2382,2,1,2
2152,1,2,4
2089,1,2,4
2799,1,2,4
1894,2,2,4
1275,2,2,4
1358,1,2,3
1240,2,2,3
1866,2,2,3
2125,1,2,2
1007,1,2,2
1661,1,2,2
1744,2,2,2
2061,2,2,2
1698,1,3,4
1265,1,3,4
1102,1,3,4
1428,2,3,4
2618,2,3,4
749,1,3,3
1005,2,3,3
1180,2,3,3
1171,1,3,2
1262,2,3,2
2007,2,3,2
1122,2,3,2